epoch,train_loss,val_loss
1,2.0274,1.5859
2,1.5588,1.3771
3,1.4173,1.2785
4,1.3274,1.1803
5,1.2341,1.1101
6,1.1823,1.0782
7,1.1506,1.0548
8,1.1263,1.0362
9,1.1068,1.0219
10,1.0897,1.0087
11,1.0778,0.9760
11,1.0772,0.9818
12,1.0642,0.9751
13,1.0531,0.9653
14,1.0428,0.9593
15,1.0338,0.9533
16,1.0255,0.9475
17,1.0179,0.9430
18,1.0107,0.9373
19,1.0042,0.9313
20,0.9983,0.9296
21,0.9947,0.9052
22,0.9891,0.9032
23,0.9837,0.9012
24,0.9790,0.8982
25,0.9745,0.8955
26,0.9702,0.8949
27,0.9660,0.8937
28,0.9624,0.8895
29,0.9588,0.8875
30,0.9570,0.8682
31,0.9531,0.8689
32,0.9502,0.8683
33,0.9466,0.8703
